Title,Description,Url,Started On,Finished On
Webinar — A Matter of Seconds: How to Extract More Value from Your Mine Every Shift,"In A Matter of Seconds: How to Extract More Value from Your Mine Every Shift, Hal Galbraith, mining industry veteran and manager of Wenco’s Mining Centre of Excellence, walks through the Wenco approach to auditing mines for optimal performance. Drawing on his 37 years of hands-on experience in mine optimization, Galbraith discusses the biggest pitfalls for efficiency in daily mine operations. Then, he shows how conserving even a few seconds in key areas can uncover millions of dollars in additional value each year.",https://www.wencomine.com/videos/webinar-a-matter-of-seconds-how-to-extract-more-value-from-your-mine-every-shift,May 2020,Jul 2020
The State of AI in the Utility Industry,"In The State of AI in the Utility Industry, Urbint and Studio ID surveyed 150 of today’s utility leaders on how emerging technology is helping them navigate this crucial juncture. The report details their biggest challenges, priorities for the future, and trends they see influencing adoption of AI and predictive analytics to mitigate the risk facing the industry.",https://www.urbint.com/campaign/white-paper-the-state-of-ai-in-the-utility-industry,Jun 2022,Mar 2023
Urbint Blog,"Corporate blog for Urbint, covering topics around worker safety, vegetation management, energy-based hazard recognition, and damage prevention for underground infrastructure.",https://www.urbint.com/blog,Jun 2022,May 2023
"More Digging, More Damage: How Utilities Are Preparing for the Infrastructure Investment and Jobs Act","There is still a lot to be determined about the $1.2 trillion Infrastructure Investment and Jobs Act (IIJA). Still, one thing is sure - more construction leads to increased asset risk and more damage to existing utility assets. To mark this year’s 811 Day, we assembled a panel of thought leaders in utility damage prevention to hear how the IIJA has influenced their plans and preparations for preventing damage from the coming surge in nationwide construction and infrastructure upgrades.",https://www.urbint.com/campaign/webinar-more-digging-more-damage-registration,Jul 2022,Aug 2022
Setting The Energy Wheel in Motion,"Watch our session to learn how utilities are using Urbint to put the Energy Wheel into action. Our Director of Safety Operations James Upton and Director of Risk Operations Sonam Kala show how Urbint uses the concepts of the Energy Wheel and energy-based hazard recognition to provide clear, actionable insights throughout the operations workflow — so managers, supervisors, field crews, and inspectors can prevent SIFs and keep their workers safe.",https://www.urbint.com/campaign/webinar-setting-the-energy-wheel-in-motion,Nov 2022,Dec 2022
Life-Saving Job Briefings: How Work Safety Plans Can Eliminate Serious Injuries and Fatalities,"In this session, we talk to utility safety veterans about their experience with job safety briefings. We discuss best practices, lessons learned, and real-world strategies for turning this routine task into a practice that saves even more workers’ lives.",https://www.urbint.com/campaign/webinar-life-saving-job-briefings,Jan 2023,Mar 2023
SEMCO Energy cuts third-party damages over 20%,"Since 2020, SEMCO Energy has used Urbint solutions to reduce third-party damages to its pipelines up to 40% in certain territories. With Urbint, SEMCO has empowered its damage prevention team to target high-risk 811 tickets and adopt a proactive approach to working with excavators. The partnership has resulted in fewer damages to utility infrastructure and a stronger relationship with third-party excavators across Michigan.",https://www.urbint.com/case-studies/semco-energy-damage-prevention,Jan 2023,Mar 2023
National Grid identifies 35% more hazards with Urbint for Worker Safety,"Since 2021, National Grid has used Urbint for Worker Safety to protect workers at gas complex construction projects in the Northeastern United States. Through the study period ending in early 2022, utility supervisors and field teams successfully identified 35% more hazards using Urbint than inspectors and contractors previously identified without Urbint. In turn, the improved hazard recognition empowered those crews to implement 44% more direct controls, creating capacity to fail safely and preventing serious injuries and fatalities (SIFs).",https://www.urbint.com/case-studies/national-grid-worker-safety,Jan 2023,May 2023
Striveworks Blog,"Corporate blog for Striveworks, discussing topics related to AI/ML, including MLOps, model drift, retraining, dataset curation, data lineage, text classification, geospatial analysis, etc.",,Sep 2023,Jul 2024
Model Drift and The Day 3 Problem,A white paper discussing model drift — the pernicious and persistent problem of AI models failing to work over time (and what to do about it).,,Feb 2024,Apr 2024
